set_num,set_name,year,theme_id,num_parts,theme_name
001-1,Gears,1965,1,43,Technic
0011-2,Town Mini-Figures,1979,84,12,Supplemental
0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,Lion Knights
0012-1,Space Mini-Figures,1979,143,12,Supplemental
0013-1,Space Mini-Figures,1979,143,12,Supplemental
0014-1,Space Mini-Figures,1979,143,12,Supplemental
0015-1,Space Mini-Figures,1979,143,18,Supplemental
0016-1,Castle Mini Figures,1979,186,15,Castle
002-1,4.5V Samsonite Gears Motor Set,1965,1,3,Technic
003-1,Master Mechanic Set,1966,366,403,Basic Set
005-1,Basic Building Set in Cardboard,1965,366,35,Basic Set
005-2,Discovery Set,1967,366,0,Basic Set
00-6,Special Offer,1985,67,0,Classic Town
010-1,Basic Building Set in Cardboard,1965,366,57,Basic Set
010-3,Basic Building Set,1968,366,77,Basic Set
011-1,Basic Building Set,1968,366,145,Basic Set
021-1,Wheel Set,1966,366,183,Basic Set
022-1,Basic Building Set,1968,366,110,Basic Set
0241187567-1,Ninjago: Build Your Own Adventure,2015,497,74,Books
0241199312-1,DC Super Heroes: Character Encyclopedia,2016,497,7,Books
0241357594-1,Star Wars Build Your Own Adventure: Galactic Missions,2019,497,70,Books
028-1,Nursery Furniture,1979,652,7,Playhouse
030-2,Building Set,1973,505,29,Basic Set
03093-1,The Race to Build It Board Game,1999,502,73,Game
032-1,Living Room,1979,652,14,Playhouse
033-1,Farm Animals,1979,632,21,Town
033-2,Basic Building Set,1968,366,177,Basic Set
041-1,Pre-School Beginners Set,1964,440,24,Primo
041-2,Playhouse,1979,652,1,Playhouse
042-1,Jumbo Brick Pull Toy,1966,440,9,Primo
044-1,Basic Building Set,1968,366,225,Basic Set
044-2,Jumbo Bricks,1969,440,30,Primo
045-1,Farm,1979,632,66,Town
045-2,Assorted Clear Bricks & Plates,1969,371,37,Supplemental
050-2,Lighting Device Pack,1969,371,4,Supplemental
051-1,Assorted Basic Bricks - Red,1966,371,50,Supplemental
052-1,Assorted Basic Bricks - White,1966,371,50,Supplemental
053-1,Assorted Basic Bricks - Blue,1966,371,50,Supplemental
054-1,Assorted Basic Bricks - Yellow,1966,371,50,Supplemental
055-1,Trees & Bushes,1966,371,25,Supplemental
055-2,Basic Building Set,1968,366,256,Basic Set
057-1,Large Wheels,1966,371,17,Supplemental
058-1,Small Wheels,1966,371,26,Supplemental
060-1,Assorted White Plates,1966,371,15,Supplemental
060-3,Jumbo Brick School Set,1968,440,60,Primo
061-1,Five Large Base Plates - Green,1966,371,5,Supplemental
062-1,Five Large Base Plates - White,1966,371,5,Supplemental
063-1,Five Large Base Plates - Blue,1966,371,5,Supplemental
063-2,Ducks,1978,505,18,Basic Set
065-1,Two Garage Door Kits,1969,371,6,Supplemental
066-1,Basic Building Set,1968,366,407,Basic Set
071-1,Block Box,1979,505,24,Basic Set
074-1,Pre-School Set,1976,505,20,Basic Set
0744023726-1,Disney Princess: Enchanted Treasury,2020,497,4,Books
0744023734-1,LEGO Minifigure: A Visual History New Edition,2020,497,5,Books
0744024471-1,100 Ways to Rebuild the World,2020,497,0,Books
075-1,Pre-School Set,1975,505,17,Basic Set
0751359483-1,The Ultimate LEGO Book,1999,497,0,Books
0756668530-1,Atlantis: Brickmaster,2010,497,157,Books
0756672805-1,Pirates: Brickmaster,2009,497,162,Books
0756682762-1,Ninjago Brickmaster,2011,497,154,Books
0756692571-1,Harry Potter Characters of the Magical World,2012,497,4,Books
0756698126-1,Ninjago: Character Encyclopedia,2012,497,5,Books
077-1,Pre-School Set,1975,505,21,Basic Set
078-1,Roadway Base Plate,1970,371,1,Supplemental
080-1,Basic Building Set with Train,1967,366,712,Basic Set
080-3,Police Station,1976,505,25,Basic Set
082-1,Legoville,1976,505,63,Basic Set
086-1,Tub Boat,1978,632,3,Town
088-1,Super Set,1969,469,615,Basic Set
10000-1,Guarded Inn,2001,199,256,Lion Knights
1000-1,Mosaic Set,1985,516,190,Duplo and Explore
10001-1,Metroliner,2001,233,787,Train
10002-1,Railroad Club Car,2001,233,293,Train
10003-1,1 x 2 Sand Red Bricks,2001,254,100,Bulk Bricks
10004-1,2 x 2 Sand Red Bricks,2001,254,100,Bulk Bricks
