date,cheese_production
1995Q1,171289
1995Q2,170797
1995Q3,165770
1995Q4,175041
1996Q1,171949
1996Q2,169648
1996Q3,171550
1996Q4,174953
1997Q1,174827
1997Q2,176306
1997Q3,173825
1997Q4,179143
1998Q1,170239
1998Q2,165851
1998Q3,157795
1998Q4,155716
1999Q1,158039
1999Q2,159037
1999Q3,165726
1999Q4,175898
2000Q1,174493
2000Q2,168292
2000Q3,168354
2000Q4,172461
2001Q1,162686
2001Q2,162518
2001Q3,166919
2001Q4,159677
2002Q1,150814
2002Q2,158155
2002Q3,159973
2002Q4,170057
2003Q1,164807
2003Q2,161675
2003Q3,164069
2003Q4,167350
2004Q1,164284
2004Q2,166617
2004Q3,162426
2004Q4,165974
2005Q1,164652
2005Q2,163131
2005Q3,168540
2005Q4,175877
2006Q1,172843
2006Q2,176092
2006Q3,179567
2006Q4,185498
2007Q1,184035
2007Q2,179821
2007Q3,179923
2007Q4,186556
2008Q1,184761
2008Q2,177597
2008Q3,181998
2008Q4,177342
2009Q1,176040
2009Q2,177754
2009Q3,177301
2009Q4,181000
2010Q1,186715
2010Q2,191522
2010Q3,184816
2010Q4,189583
2011Q1,190663
2011Q2,187518
2011Q3,183013
2011Q4,188486
2012Q1,193654
2012Q2,190219
2012Q3,188228
2012Q4,192058
2013Q1,194761
2013Q2,197934
2013Q3,198276
2013Q4,202546
2014Q1,197182
2014Q2,194700
2014Q3,191938
2014Q4,188121
2015Q1,196283
2015Q2,215520
2015Q3,214601
2015Q4,218568
2016Q1,225592
2016Q2,224347
2016Q3,217944
2016Q4,219929
2017Q1,219431
2017Q2,217133
2017Q3,220504
2017Q4,217171
2018Q1,220372
2018Q2,219788
2018Q3,218282
2018Q4,220465
2019Q1,228550
2019Q2,231621
2019Q3,223665
2019Q4,213569
