date,total_passengers,cheese_production
2004-01-31,2818427,57011
2004-02-29,2922639,51404
2004-03-31,3382340,55869
2004-04-30,3657936,55855
2004-05-31,4076485,57154
2004-06-30,4008925,53608
2004-07-31,4565684,56342
2004-08-31,4483625,53418
2004-09-30,4153659,52666
2004-10-31,4155554,56492
2004-11-30,3247807,54020
2004-12-31,3102830,55462
2005-01-31,3082853,57176
2005-02-28,2960333,52076
2005-03-31,3442365,55400
2005-04-30,3735323,54506
2005-05-31,4328422,55617
2005-06-30,4196547,53008
2005-07-31,4795477,55270
2005-08-31,4695502,57370
2005-09-30,4377505,55900
2005-10-31,4297973,58626
2005-11-30,3362422,56515
2005-12-31,3213586,60736
2006-01-31,3167956,60737
2006-02-28,3001753,53676
2006-03-31,3571343,58430
2006-04-30,3990145,60033
2006-05-31,4472259,57692
2006-06-30,4487988,58367
2006-07-31,5021544,59830
2006-08-31,4877589,60916
2006-09-30,4563348,58821
2006-10-31,4452338,61645
2006-11-30,3535989,60676
2006-12-31,3454304,63177
2007-01-31,3331523,63747
2007-02-28,3213977,56640
2007-03-31,3896807,63648
2007-04-30,4121803,61132
2007-05-31,4566599,62304
2007-06-30,4529566,56385
2007-07-31,5172312,59789
2007-08-31,5121598,60202
2007-09-30,4713449,59932
2007-10-31,4656638,63067
2007-11-30,3647578,59346
2007-12-31,3545823,64143
2008-01-31,3388686,62708
2008-02-29,3348700,59665
2008-03-31,3973721,62388
2008-04-30,4156519,59601
2008-05-31,4713826,60255
2008-06-30,4704148,57741
2008-07-31,5175950,62562
2008-08-31,5025767,60369
2008-09-30,4600637,59067
2008-10-31,4560314,60714
2008-11-30,3443549,55975
2008-12-31,3333873,60653
2009-01-31,3072606,61208
2009-02-28,2891262,55036
2009-03-31,3390581,59796
2009-04-30,3888685,57960
2009-05-31,4173577,61005
2009-06-30,4130139,58789
2009-07-31,4851476,59663
2009-08-31,4811406,59743
2009-09-30,4322719,57895
2009-10-31,4274814,61184
2009-11-30,3355439,57045
2009-12-31,3293039,62771
2010-01-31,3114971,63125
2010-02-28,3049444,58847
2010-03-31,3697355,64743
2010-04-30,3213665,63321
2010-05-31,4447089,65822
2010-06-30,4442139,62379
2010-07-31,5119203,63276
2010-08-31,5058056,62957
2010-09-30,4623783,58583
2010-10-31,4666071,62736
2010-11-30,3719403,62327
2010-12-31,3440349,64520
2011-01-31,3466587,65490
2011-02-28,3251624,58800
2011-03-31,3921482,66373
2011-04-30,4466794,63096
2011-05-31,4916693,65061
2011-06-30,4939490,59361
2011-07-31,5627276,61771
2011-08-31,5540569,62358
2011-09-30,5128892,58884
2011-10-31,5024163,62191
2011-11-30,3807138,61371
2011-12-31,3777434,64924
2012-01-31,3675761,65821
2012-02-29,3552136,61730
2012-03-31,4177498,66103
2012-04-30,4568847,63307
2012-05-31,5027940,65235
2012-06-30,5078079,61677
2012-07-31,5759003,63889
2012-08-31,5671424,62941
2012-09-30,5239374,61398
2012-10-31,5100023,64164
2012-11-30,3944666,61758
2012-12-31,3858569,66136
2013-01-31,3670053,67314
2013-02-28,3563751,60698
2013-03-31,4341934,66749
2013-04-30,4779391,65792
2013-05-31,5440427,68310
2013-06-30,5404974,63832
2013-07-31,5934128,66942
2013-08-31,5942981,66674
2013-09-30,5477811,64660
2013-10-31,5288928,69005
2013-11-30,4099344,65495
2013-12-31,4103791,68046
2014-01-31,3937135,69003
2014-02-28,3770429,61278
2014-03-31,4489453,66901
2014-04-30,5075277,65522
2014-05-31,5618850,67065
2014-06-30,5642408,62113
2014-07-31,6070119,67011
2014-08-31,6261369,63666
2014-09-30,5802996,61261
2014-10-31,5609100,63883
2014-11-30,4321292,60142
2014-12-31,4334189,64096
2015-01-31,4067159,67160
2015-02-28,3975652,60462
2015-03-31,4651418,68661
2015-04-30,5318300,70249
2015-05-31,6064935,74202
2015-06-30,5971077,71069
2015-07-31,6568499,72938
2015-08-31,6606203,72736
2015-09-30,6115762,68927
2015-10-31,5940890,73688
2015-11-30,4697506,68927
2015-12-31,4657214,75953
2016-01-31,4487365,76327
2016-02-29,4510127,72494
2016-03-31,5249454,76771
2016-04-30,5837141,75641
2016-05-31,6408460,76351
2016-06-30,6203153,72355
2016-07-31,7074939,74256
2016-08-31,7115921,72496
2016-09-30,6572800,71192
2016-10-31,6445707,73593
2016-11-30,5162840,70735
2016-12-31,5211659,75601
2017-01-31,5024395,75698
2017-02-28,4787727,67995
2017-03-31,5717190,75738
2017-04-30,6525509,73058
2017-05-31,6988685,72978
2017-06-30,6904028,71097
2017-07-31,7532873,73431
2017-08-31,7608101,75783
2017-09-30,7044350,71290
2017-10-31,6975594,72403
2017-11-30,5657189,69905
2017-12-31,5437988,74863
2018-01-31,5410899,75269
2018-02-28,5237331,68214
2018-03-31,6151187,76889
2018-04-30,6730695,73710
2018-05-31,7261667,74740
2018-06-30,7233806,71338
2018-07-31,7691695,73373
2018-08-31,7786633,72946
2018-09-30,7294410,71963
2018-10-31,7262779,73524
2018-11-30,5802548,72311
2018-12-31,5742668,74630
2019-01-31,5495052,78357
2019-02-28,5352301,72879
2019-03-31,6270788,77314
2019-04-30,6926059,77419
2019-05-31,7396960,78788
2019-06-30,7471334,75414
2019-07-31,7730263,75510
2019-08-31,7859458,74657
2019-09-30,7486440,73498
2019-10-31,7354352,70233
2019-11-30,5885771,70422
2019-12-31,5938523,72914
