date,total_passengers
1999 January,2439980
1999 February,2405830
1999 March,2905023
1999 April,2983754
1999 May,3399339
1999 June,3357773
1999 July,3753435
1999 August,3850371
1999 September,3610066
1999 October,3577374
1999 November,2889913
1999 December,2531172
2004 January,2818427
2004 February,2922639
2004 March,3382340
2004 April,3657936
2004 May,4076485
2004 June,4008925
2004 July,4565684
2004 August,4483625
2004 September,4153659
2004 October,4155554
2004 November,3247807
2004 December,3102830
2005 January,3082853
2005 February,2960333
2005 March,3442365
2005 April,3735323
2005 May,4328422
2005 June,4196547
2005 July,4795477
2005 August,4695502
2005 September,4377505
2005 October,4297973
2005 November,3362422
2005 December,3213586
2006 January,3167956
2006 February,3001753
2006 March,3571343
2006 April,3990145
2006 May,4472259
2006 June,4487988
2006 July,5021544
2006 August,4877589
2006 September,4563348
2006 October,4452338
2006 November,3535989
2006 December,3454304
2007 January,3331523
2007 February,3213977
2007 March,3896807
2007 April,4121803
2007 May,4566599
2007 June,4529566
2007 July,5172312
2007 August,5121598
2007 September,4713449
2007 October,4656638
2007 November,3647578
2007 December,3545823
2008 January,3388686
2008 February,3348700
2008 March,3973721
2008 April,4156519
2008 May,4713826
2008 June,4704148
2008 July,5175950
2008 August,5025767
2008 September,4600637
2008 October,4560314
2008 November,3443549
2008 December,3333873
2009 January,3072606
2009 February,2891262
2009 March,3390581
2009 April,3888685
2009 May,4173577
2009 June,4130139
2009 July,4851476
2009 August,4811406
2009 September,4322719
2009 October,4274814
2009 November,3355439
2009 December,3293039
2010 January,3114971
2010 February,3049444
2010 March,3697355
2010 April,3213665
2010 May,4447089
2010 June,4442139
2010 July,5119203
2010 August,5058056
2010 September,4623783
2010 October,4666071
2010 November,3719403
2010 December,3440349
2011 January,3466587
2011 February,3251624
2011 March,3921482
2011 April,4466794
2011 May,4916693
2011 June,4939490
2011 July,5627276
2011 August,5540569
2011 September,5128892
2011 October,5024163
2011 November,3807138
2011 December,3777434
2012 January,3675761
2012 February,3552136
2012 March,4177498
2012 April,4568847
2012 May,5027940
2012 June,5078079
2012 July,5759003
2012 August,5671424
2012 September,5239374
2012 October,5100023
2012 November,3944666
2012 December,3858569
2013 January,3670053
2013 February,3563751
2013 March,4341934
2013 April,4779391
2013 May,5440427
2013 June,5404974
2013 July,5934128
2013 August,5942981
2013 September,5477811
2013 October,5288928
2013 November,4099344
2013 December,4103791
2014 January,3937135
2014 February,3770429
2014 March,4489453
2014 April,5075277
2014 May,5618850
2014 June,5642408
2014 July,6070119
2014 August,6261369
2014 September,5802996
2014 October,5609100
2014 November,4321292
2014 December,4334189
2015 January,4067159
2015 February,3975652
2015 March,4651418
2015 April,5318300
2015 May,6064935
2015 June,5971077
2015 July,6568499
2015 August,6606203
2015 September,6115762
2015 October,5940890
2015 November,4697506
2015 December,4657214
2016 January,4487365
2016 February,4510127
2016 March,5249454
2016 April,5837141
2016 May,6408460
2016 June,6203153
2016 July,7074939
2016 August,7115921
2016 September,6572800
2016 October,6445707
2016 November,5162840
2016 December,5211659
2017 January,5024395
2017 February,4787727
2017 March,5717190
2017 April,6525509
2017 May,6988685
2017 June,6904028
2017 July,7532873
2017 August,7608101
2017 September,7044350
2017 October,6975594
2017 November,5657189
2017 December,5437988
2018 January,5410899
2018 February,5237331
2018 March,6151187
2018 April,6730695
2018 May,7261667
2018 June,7233806
2018 July,7691695
2018 August,7786633
2018 September,7294410
2018 October,7262779
2018 November,5802548
2018 December,5742668
2019 January,5495052
2019 February,5352301
2019 March,6270788
2019 April,6926059
2019 May,7396960
2019 June,7471334
2019 July,7730263
2019 August,7859458
2019 September,7486440
2019 October,7354352
2019 November,5885771
2019 December,5938523
2020 January,5595249
2020 February,5281600
2020 March,2773554
2020 April,133752
2020 May,220120
2020 June,526544
2020 July,1690515
2020 August,2242935
2020 September,1547263
2020 October,1303123
2020 November,965071
2020 December,1306018
2021 January,909617
2021 February,519827
2021 March,676647
2021 April,817876
2021 May,1106740
2021 June,1678265
2021 July,3029951
2021 August,3786973
