recommendation,id,training_id,end_date
9,a062o00001moe1LAAQ,a062o00001moe1LAAQ,2019-04-02
8,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
8,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
7,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
9,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
8,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
8,a062o00001mofRiAAI,a062o00001mofRiAAI,2019-04-09
9,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
9,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
8,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
6,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
8,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
6,a062o00001moliJAAQ,a062o00001moliJAAQ,2019-04-08
7,a062o00001moqrWAAQ,a062o00001moqrWAAQ,2019-05-29
7,a062o00001moqrWAAQ,a062o00001moqrWAAQ,2019-05-29
8,a062o00001moqrWAAQ,a062o00001moqrWAAQ,2019-05-29
7,a062o00001moqrWAAQ,a062o00001moqrWAAQ,2019-05-29
8,a062o00001mpehPAAQ,a062o00001mpehPAAQ,2019-06-04
8,a062o00001mpehZAAQ,a062o00001mpehZAAQ,2019-06-03
9,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
10,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
8,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
9,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
9,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
9,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
10,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
8,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
10,a062o00001p5br8AAA,a062o00001p5br8AAA,2019-11-14
8,a065700001XTcONAA1,a065700001XTcONAA1,2018-03-27
8,a065700001XTcONAA1,a065700001XTcONAA1,2018-03-27
6,a065700001e39MbAAI,a065700001e39MbAAI,2018-06-11
9,a065700001e39MbAAI,a065700001e39MbAAI,2018-06-11
10,a065700001e39MbAAI,a065700001e39MbAAI,2018-06-11
8,a065700001e39MbAAI,a065700001e39MbAAI,2018-06-11
8,a065700001e39MgAAI,a065700001e39MgAAI,2018-06-25
8,a065700001e39MgAAI,a065700001e39MgAAI,2018-06-25
8,a065700001e39MgAAI,a065700001e39MgAAI,2018-06-25
10,a065700001e39MgAAI,a065700001e39MgAAI,2018-06-25
8,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
9,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
9,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
8,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
5,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
7,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
10,a065700001e39MlAAI,a065700001e39MlAAI,2018-09-03
8,a065700001e39MqAAI,a065700001e39MqAAI,2018-09-17
9,a065700001e39MqAAI,a065700001e39MqAAI,2018-09-17
9,a065700001e39MvAAI,a065700001e39MvAAI,2018-10-01
8,a065700001e39MvAAI,a065700001e39MvAAI,2018-10-01
9,a065700001e39N0AAI,a065700001e39N0AAI,2018-10-29
7,a065700001e39N0AAI,a065700001e39N0AAI,2018-10-29
8,a065700001e39N0AAI,a065700001e39N0AAI,2018-10-29
